,date,text
0,101520210312875,"The objective of this study was to test the effectiveness of ivermectin for the treatment of mouse hepatitis virus (MHV), a type 2 family RNA coronavirus similar to SARS-CoV-2. Female BALB/cJ mice were infected with 6,000 PFU of MHV-A59 (group infected, n = 20) or infected and then immediately treated with a single dose of 500 µg/kg ivermectin (group infected + IVM, n = 20) or were not infected and treated with PBS (control group, n = 16). Five days after infection/treatment, the mice were euthanized and the tissues were sampled to assess their general health status and infection levels. Overall, the results demonstrated that viral infection induced typical MHV-caused disease, with the livers showing severe hepatocellular necrosis surrounded by a severe lymphoplasmacytic inflammatory infiltration associated with a high hepatic viral load (52,158 AU), while mice treated with ivermectin showed a better health status with a lower viral load (23,192 AU; p < 0.05), with only a few having histopathological liver damage (p < 0.05). No significant differences were found between the group infected + IVM and control group mice (P = NS). Furthermore, serum transaminase levels (aspartate aminotransferase and alanine aminotransferase) were significantly lower in the treated mice than in the infected animals. In conclusion, ivermectin diminished the MHV viral load and disease in the mice, being a useful model for further understanding this therapy against coronavirus diseases."
1,10132021017568,"Drug abuse remains one of the major public health issues at the global level. In this article, we propose a drug epidemic model with a complete addiction–rehabilitation–recovery process, which allows the initiation of new users under the influence of drug addicts undergoing treatment and hidden drug addicts. We first conduct qualitative analyses of the dynamical behaviors of the model, including the existence and positivity of the solutions, the basic reproduction number, global asymptotic stabilities of both the drug-free and the drug-persistent equilibria, as well as sensitivity analysis. Then we use the model to predict the drug epidemic in China during 2020–2030. Finally, we numerically simulate the potential impact of intervention strategies on different drug users. The results show that the drug epidemic will decrease significantly during 2020−2030, and the most effective intervention strategy to eliminate drug epidemics is to strengthen the investigation and rehabilitation admission of hidden drug users."
2,10092020095621,"In June 2020, Arizona, U.S., emerged as one of the world's worst coronavirus disease 2019(COVID-19) spots after the stay-at-home order was lifted in the middle of May. However, with the decisions to reimpose restrictions, the number of COVID-19 cases has been declining, and Arizona is considered to be a good model in slowing the epidemic. In this paper, we aimed to examine the COVID-19 situation in Arizona and assess the impact of human mobility change. We constructed the mobility integrated metapopulation susceptible-infectious-removed model and fitted to publicly available datasets on COVID-19 cases and mobility changes in Arizona. Our simulations showed that by reducing human mobility, the peak time was delayed, and the final size of the epidemic was decreased in all three regions. Our analysis suggests that rapid and effective decision making is crucial to control human mobility and, therefore, COVID-19 epidemics. Until a vaccine is available, reimplementations of mobility restrictions in response to the increase of new COVID-19 cases might need to be considered in Arizona and beyond."
3,10072020074485,"The success of an antiviral drug depends on its potency to neutralize the virus in vitro and its ability after administration in vivo to reach the anatomic compartments that fuel viral dissemination in the body. For instance, remdesivir, a potent SARS-CoV-2 antiviral drug based on studies in vitro, if administered orally would be poorly effective because low drug levels would reach the lungs due to its high first pass destruction in the liver. This is the reason remdesivir can only be administered intravenously, a requirement that clearly limits its use as a prophylactic agent for COVID-19, although novel formulations for its easier administration are under development. Whether an antiviral prophylaxis could further control or even stop the COVID-19 epidemic in synergy with other non-pharmacological based mitigation strategies is today unknown. Since the mid-1960s, pharmacologists have investigated the use of lipid-based nanoparticles for efficient delivery of antivirals to tissues, for example by transforming the route of administration from intravenous to oral, subcutaneous or aerosol administrations. These novel encapsulation strategies have also the potential to maintain high levels of the antiviral drugs in tissues, with reduced dose frequency compared to the non-encapsulated drug. Several lipid-based nanoparticles are today approved by the US Food and Drug Administration or being tested in clinical studies with favorable toxicity profiles. Nonhuman primate models of coronavirus infection offer unique platforms to accelerate the search for SARS-CoV-2 antiviral prophylaxis. Paradigms, to corroborate this claim, are borrowed from nonhuman primate research studies, some of which had a profound impact on global public health in the specific setting of the AIDS pandemic. Sharing information from nonhuman primate research programs, invoking principles of scientific transparency and bioethics similar to those universally agreed for human studies, would also likely significantly help our collective fight (as the human species) against this public health emergency."
4,100620200610795,"Stroke has been considered as one of the underlying diseases that increases the probability of severe infection and mortality. Meanwhile, there are ongoing reports of stroke subsequent to COVID-19 infection. In this narrative paper, we reviewed major neurologic adverse drug reactions (ADRs) and pharmacokinetics of drugs which are routinely used for COVID-19 infection and their potential drug–drug interactions (PDDIs) with common drugs used for the treatment of stroke. It is highly recommended to monitor patients on chloroquine (CQ), hydroxychloroquine (HCQ), antiviral drugs, and/or corticosteroids about initiation or progression of cardiac arrhythmias, delirium, seizure, myopathy, and/or neuropathy. In addition, PDDIs of anti-COVID-19 drugs with tissue plasminogen activator (tPA), anticoagulants, antiaggregants, statins, antihypertensive agents, and iodine-contrast agents should be considered. The most dangerous PDDIs were interaction of lopinavir/ritonavir or atazanavir with clopidogrel, prasugrel, and new oral anticoagulants (NOACs)."
5,10042020042495,"The Russian Drug Reaction Corpus (RuDReC) is a new partially annotated corpus of consumer reviews in Russian about pharmaceutical products for the detection of health-related named entities and the effectiveness of pharmaceutical products. The corpus itself consists of two parts, the raw one and the labelled one. The raw part includes 1.4 million health-related user-generated texts collected from various Internet sources, including social media. The labelled part contains 500 consumer reviews about drug therapy with drug- and disease-related information. Labels for sentences include health-related issues or their absence. The sentences with one are additionally labelled at the expression level for identification of fine-grained subtypes such as drug classes and drug forms, drug indications, and drug reactions. Further, we present a baseline model for named entity recognition (NER) and multi-label sentence classification tasks on this corpus. The macro F1 score of 74.85% in the NER task was achieved by our RuDR-BERT model. For the sentence classification task, our model achieves the macro F1 score of 68.82% gaining 7.47% over the score of BERT model trained on Russian data. We make the RuDReC corpus and pretrained weights of domain-specific BERT models freely available at https://github.com/cimm-kzn/RuDReC"
6,10102020105095,"The publisher regrets that this article has been temporarily removed. A replacement will appear as soon as possible in which the reason for the removal of the article will be specified, or the article will be reinstated. The full Elsevier Policy on Article Withdrawal can be found at: https://www.elsevier.com/about/our-business/policies/article-withdrawal."
7,10122020129004,"Giant cell arteritis, a common primary systemic vasculitis affecting older people, presents acutely as a medical emergency and requires rapid specialist assessment and treatment to prevent irreversible vision loss. Disruption of the health-care system caused by the COVID-19 pandemic exposed weak points in clinical pathways for diagnosis and treatment of giant cell arteritis, but has also permitted innovative solutions. The essential roles played by all professionals, including general practitioners and surgeons, in treating these patients have become evident. Patients must also be involved in the reshaping of clinical services. As an international group of authors involved in the care of patients with giant cell arteritis, we reflect in this Viewpoint on rapid service adaptations during the first peak of COVID-19, evaluate challenges, and consider implications for the future."
8,10052020058414,"Background The world is facing the Coronavirus pandemic which is highly infectious. A number of measures have been put in place to prevent its spread among the population. However, for these preventive measures to be effective, the population requires an appropriate and sufficient knowledge. Thus, a survey was conducted with the aim of assessing the awareness, knowledge, attitude and practices towards measures for prevention of the spread of Covid-19 amongst Ugandans. Methods This was a cross-sectional study conducted during the lockdown in Uganda. An online questionnaire and a snowballing approach was used for participant recruitment of 18 years above literate Ugandans. Data collection was done from 6th to 15th April 2020 during which 1763 people participated. We analyzed all data using STATA 14.2, applying appropriate statistical tests. Results Out of 1763 participants, 97.6% were aware of the current pandemic. 83.9% of participants had a good knowledge score (21.8/27), 72.4% had a good attitude and 85.3% were practicing measures to prevent the spread of the Coronavirus disease. The ordered logistic regression showed that being a Health worker was significantly associated with a high knowledge (aOR:6 (3.32-10.93); a good attitude (aOR:2.5(1.68-3.8)]) and good practice (aOR:2.9 (1.95-4.2). On contrary, being a driver, business entrepreneur and a security personnel were found to have less rate in awareness, knowledge, attitude and practice. Conclusions Ugandans had a good overall awareness, knowledge, attitude and practice. However, there is still a gap of knowledge, attitude and practice among drivers, business entrepreneur and security personnel. There is a need to mobilize the population in the country to have the same degree of awareness and knowledge which will have an impact on attitude and practice to prevent spread of COVID-19."
9,10052020057727,"ABSTRACT Patients with pre-existing cardiovascular disease and risk factors are more likely to experience adverse outcomes associated with the novel coronavirus disease-2019 (COVID-19). Additionally, consistent reports of cardiac injury and de novo cardiac complications, including possible myocarditis, arrhythmia, and heart failure in patients without prior cardiovascular disease or significant risk factors, are emerging, possibly due to an accentuated host immune response and cytokine release syndrome. As the spread of the virus increases exponentially, many patients will require medical care either for COVID-19 related or traditional cardiovascular issues. While the COVID-19 pandemic is dominating the attention of the healthcare system, there is an unmet need for a standardized approach to deal with COVID-19 associated and other traditional cardiovascular issues during this period. We provide consensus guidance for the management of various cardiovascular conditions during the ongoing COVID-19 pandemic with the goal of providing the best care to all patients and minimizing the risk of exposure to frontline healthcare workers."
